"","FIPS","City","Year","Population","Primary.Point","Date"
"17085",1955965,"Newell","July 01 2003",865,"POINT (-95.0039777 42.609682)",2003-07-01
"17086",1965370,"Radcliffe","July 01 2004",575,"POINT (-93.4343108 42.3177101)",2004-07-01
"17087",1935670,"Hedrick","April 01 2010",764,"POINT (-92.3079494 41.1711634)",2010-04-01
"17088",1975945,"Struble","July 01 2019",80,"POINT (-96.1945847 42.8944666)",2019-07-01
"17089",1966855,"Ricketts","July 01 1994",118,"POINT (-95.5749041 42.1280902)",1994-07-01
"17090",1942285,"Lacona","July 01 1994",362,"POINT (-93.3849697 41.1899087)",1994-07-01
"17091",1924420,"Eldon","July 01 1994",1027,"POINT (-92.2176726 40.9176345)",1994-07-01
"17092",1966135,"Red Oak","April 01 2010",5742,"POINT (-95.2248247 41.0141481)",2010-04-01
"17093",1924465,"Eldora","July 01 1999",2897,"POINT (-93.1012867 42.3605951)",1999-07-01
"17094",1948900,"Manly","July 01 2015",1301,"POINT (-93.2009752 43.2880706)",2015-07-01
"17095",1928605,"Fort Madison","July 01 1992",11999,"POINT (-91.3519128 40.6198735)",1992-07-01
"17096",1931980,"Grand Junction","July 01 2009",846,"POINT (-94.2370224 42.032965)",2009-07-01
"17097",1986970,"Woodward","July 01 2003",1227,"POINT (-93.9208014 41.8522961)",2003-07-01
"17098",1942285,"Lacona","July 01 2009",349,"POINT (-93.3849697 41.1899087)",2009-07-01
"17099",1978600,"Toronto","July 01 2003",133,"POINT (-90.8627574 41.9028894)",2003-07-01
"17100",1903745,"Aurelia","July 01 2013",1022,"POINT (-95.4368477 42.7130665)",2013-07-01
"17101",1907345,"Bonaparte","July 01 2002",449,"POINT (-91.8005215 40.7011739)",2002-07-01
"17102",1960420,"Ottosen","July 01 2004",48,"POINT (-94.3755469 42.8980883)",2004-07-01
"17103",1916635,"Corydon","July 01 2016",1595,"POINT (-93.3174517 40.757426)",2016-07-01
"17104",1954435,"Mount Auburn","April 01 2000",160,"POINT (-92.094317 42.2574343)",2000-04-01
"17105",1969375,"Rutland","July 01 2015",123,"POINT (-94.2951894 42.7614337)",2015-07-01
"17106",1954840,"Mount Vernon","July 01 2001",3889,"POINT (-91.4243495 41.9229756)",2001-07-01
"17107",1907075,"Blue Grass","July 01 2004",1255,"POINT (-90.7648763 41.5095767)",2004-07-01
"17108",1982020,"Wall Lake","July 01 2018",758,"POINT (-95.0927786 42.267186)",2018-07-01
"17109",1902755,"Arion","July 01 1994",146,"POINT (-95.4623218 41.9481606)",1994-07-01
"17110",1930135,"Geneva","July 01 2013",163,"POINT (-93.1297657 42.6747983)",2013-07-01
"17111",1919405,"Decorah","July 01 2006",7909,"POINT (-91.7850015 43.3018112)",2006-07-01
"17112",1945840,"Littleport","July 01 1997",81,"POINT (-96.0274587 41.8082038)",1997-07-01
"17113",1929685,"Garber","July 01 1996",114,"POINT (-91.2618173 42.744429)",1996-07-01
"17114",1906895,"Blanchard","July 01 1991",56,"POINT (-95.2214595 40.5807827)",1991-07-01
"17115",1961230,"Palo","July 01 2013",1022,"POINT (-91.8000825 42.0645741)",2013-07-01
"17116",1902845,"Arlington","July 01 1992",483,"POINT (-91.6710476 42.7487868)",1992-07-01
"17117",1928920,"Fraser","July 01 1994",115,"POINT (-93.9734887 42.1250435)",1994-07-01
"17118",1938820,"Ireton","July 01 1996",629,"POINT (-96.3217494 42.974898)",1996-07-01
"17119",1913755,"Clarksville","July 01 1992",1376,"POINT (-92.6680076 42.7799869)",1992-07-01
"17120",1937605,"Humeston","April 01 1990",553,"POINT (-93.4972195 40.8609187)",1990-04-01
"17121",1965640,"Randolph","July 01 2015",153,"POINT (-95.5647251 40.8734345)",2015-07-01
"17122",1942600,"Lake Park","July 01 2016",1126,"POINT (-95.325247 43.4477627)",2016-07-01
"17123",1953625,"Monticello","July 01 2009",3701,"POINT (-91.1836421 42.2303515)",2009-07-01
"17124",1904330,"Baldwin","July 01 1997",134,"POINT (-90.8385145 42.0732052)",1997-07-01
"17125",1940395,"Kelley","July 01 2013",307,"POINT (-93.6654994 41.9508068)",2013-07-01
"17126",1975405,"Stockport","July 01 2016",284,"POINT (-91.8333604 40.8572858)",2016-07-01
"17127",1921405,"Dike","July 01 1995",890,"POINT (-92.6255847 42.4641335)",1995-07-01
"17128",1973335,"Sioux City","July 01 2005",82039,"POINT (-96.3901359 42.4958196)",2005-07-01
"17129",1982740,"Waukon","July 01 2014",3770,"POINT (-91.4781367 43.2683975)",2014-07-01
"17130",1965640,"Randolph","April 01 1990",243,"POINT (-95.5647251 40.8734345)",1990-04-01
"17131",1919405,"Decorah","April 01 1990",8063,"POINT (-91.7850015 43.3018112)",1990-04-01
"17132",1926175,"Everly","July 01 2005",641,"POINT (-95.3198127 43.1618843)",2005-07-01
"17133",1924645,"Elgin","July 01 2005",645,"POINT (-91.6355924 42.9553694)",2005-07-01
"17134",1968160,"Rock Rapids","April 01 2010",2549,"POINT (-96.1657284 43.4258915)",2010-04-01
"17135",1903115,"Arthur","July 01 2001",238,"POINT (-95.3469405 42.3353614)",2001-07-01
"17136",1904195,"Badger","July 01 1994",600,"POINT (-94.1445463 42.6141459)",1994-07-01
"17137",1953310,"Monona","April 01 2000",1550,"POINT (-91.3912037 43.0512734)",2000-04-01
"17138",1921720,"Donahue","July 01 1996",335,"POINT (-90.6746301 41.6915346)",1996-07-01
"17139",1906085,"Bernard","July 01 2006",99,"POINT (-90.8317558 42.3132971)",2006-07-01
"17140",1965640,"Randolph","July 01 1996",218,"POINT (-95.5647251 40.8734345)",1996-07-01
"17141",1952905,"Mitchell","July 01 1999",150,"POINT (-92.8708732 43.320421)",1999-07-01
"17142",1934455,"Hardy","July 01 1991",44,"POINT (-94.0511447 42.8101495)",1991-07-01
"17143",1949485,"Marion","July 01 2011",35824,"POINT (-91.585326 42.0443653)",2011-07-01
